model,order,subject,p_c,win_size,BIC
fixed_window,1,15,0.05138294064277284,7,-163.21316392415588
fixed_window,1,16,0.05065995469944343,6,-184.5047865990661
fixed_window,1,17,0.05084377881562783,6,-184.30775301607304
fixed_window,1,18,0.05232597548046415,6,-187.12010991369226
fixed_window,1,19,0.05193982754931308,6,-176.38019082726157
fixed_window,1,20,0.052172568840762726,7,-206.92355400160744
fixed_window,1,21,0.052304372607701155,6,-111.64313012283245
fixed_window,1,22,0.050919160017470017,7,-160.8172127122653
fixed_window,1,23,0.05107826227258455,6,-217.87301291653318
fixed_window,1,24,0.050184726135699555,6,-178.13832725670304
fixed_window,1,25,0.05149802626013947,6,-192.75351167551412
fixed_window,1,26,0.05003440171314138,8,-180.36578524174055
fixed_window,1,27,0.05171563802094317,8,-180.5610549752566
fixed_window,1,28,0.052063136068917465,7,-167.00865234859916
fixed_window,1,29,0.05019478302382551,7,-232.0329592973046
fixed_window,1,30,0.05056125365873237,7,-165.26720026974132
fixed_window,1,31,0.05195720520194124,7,-210.28019646551897
fixed_window,1,32,0.05065086859127624,7,-218.25310694725718
fixed_window,1,33,0.051765676107498264,8,-133.25204757045367
fixed_window,1,36,0.0524683779854558,6,-149.34912015026734
fixed_window,1,37,0.05141418730907717,7,-169.27047256186668
fixed_window,1,38,0.05103772475167202,7,-172.84226244752148
fixed_window,1,39,0.05000194528840203,6,-105.48156488386225
fixed_window,1,41,0.050234530278088343,7,-162.17009240502347
fixed_window,1,42,0.05171577780351604,7,-146.78999494167616
fixed_window,1,43,0.05169455361959982,6,-152.89741737736256
fixed_window,1,44,0.05145904941892524,7,-146.097097911228
fixed_decay,0,6,0.05174502657607005,7,-183.64153213478107
fixed_decay,0,7,0.05101252722263893,7,-153.40298919619173
fixed_decay,0,8,0.05134063704911066,6,-183.07696707475034
fixed_decay,0,9,0.05132396533781325,6,-172.9884804514858
fixed_decay,0,10,0.05042919736231319,6,-170.59350934188234
fixed_decay,0,11,0.05157132473728218,7,-199.01046562922144
fixed_decay,0,13,0.051878831875497834,6,-149.63986158882264
fixed_decay,0,14,0.051007062148926856,6,-194.19809570306865
fixed_decay,0,15,0.05118837014465144,7,-161.03842210873907
fixed_decay,0,16,0.05140412941882752,8,-184.56549717569538
fixed_decay,0,17,0.05222004934094674,8,-190.7842310703139
fixed_decay,0,18,0.051299113228172634,6,-186.82511736430612
fixed_decay,0,19,0.050448185912828215,6,-175.75644479397744
