model,subject,p_c,BIC,p_c0,p_c1
random,23,0.9501801513665168,-215.26682735255102,,
random,24,0.08730196805991819,-181.10878201698657,,
random,25,0.5771735072724453,-184.8788494566931,,
random,26,0.6291316797910034,-191.54909849400713,,
random,27,0.13140830093380873,-182.91192661205125,,
random,28,0.12155878745921977,-165.01242809786407,,
random,29,0.6919753343905487,-226.32063619765069,,
random,30,0.4805877207530681,-150.45877275396205,,
random,31,0.5709524260382505,-214.00350650305887,,
random,32,0.1359409582211536,-222.1889801276352,,
random,33,0.7706161570892419,-137.10062380931413,,
random,36,0.6365028316722232,-154.82112269328857,,
random,37,0.5742267600607435,-173.29272181682322,,
random,38,0.7867717603296922,-164.99045056008626,,
random,39,0.052324611801316756,-109.40756125880404,,
random,41,0.009233253532872743,-169.88142545200634,,
random,42,0.9963626515481552,-151.85313580486732,,
random,43,0.9911614342288152,-157.78140108054671,,
random,44,0.22002129574091345,-142.60739954592842,,
ck,6,,-184.69872559362787,0.031431415403856744,0.6581699650480621
ck,7,,-153.6864184933919,0.8435133759843124,0.6524274408439152
ck,8,,-179.09472968675465,0.3084352324450872,0.6519685028514236
ck,9,,-177.53816223641772,0.6187478229461939,0.6601190147138035
ck,10,,-169.15597404084846,0.24219415802874467,0.6562896091932929
ck,11,,-200.8276670776486,0.3307396214604693,0.6592216489743411
ck,13,,-140.3578805380416,0.50266076397703,0.6550030967183224
ck,14,,-193.490884363596,0.759834245931546,0.6550606099084983
ck,15,,-161.296033643802,0.7954682194161405,0.652814580548843
ck,16,,-184.02796298992791,0.8405046818726651,0.6555765587757969
ck,17,,-184.14207498518311,0.8145301535367919,0.6564170144409047
ck,18,,-189.72510407616195,0.30999653948621353,0.6530445740865759
ck,19,,-175.6591991491845,0.1332530314327186,0.6518761566915681
ck,20,,-207.5989727154941,0.13400591812727153,0.657786869689711
ck,21,,-113.06268927355443,0.26442417058392687,0.6611312254706548
ck,22,,-158.58445446723076,0.9195670782348064,0.6560332154038455
ck,23,,-215.37645135843258,0.7327608345088849,0.662206498794452
ck,24,,-177.59378280680667,0.6737316542949396,0.6574016256910532
ck,25,,-192.79714474499744,0.7141184237497546,0.6602694276866757
ck,26,,-180.71772792319572,0.9507635963707264,0.6519316224000589
ck,27,,-180.2189211764493,0.8895195458015765,0.6592488474585011
ck,28,,-164.68901123524796,0.17144475677319246,0.6611416050027042
ck,29,,-227.98638913695223,0.5192168078679553,0.6559138131733089
ck,30,,-150.41030653878792,0.6865179609243224,0.6619981769539599
ck,31,,-209.8833625376532,0.29363818154253774,0.6594697878035366
ck,32,,-218.76972782802656,0.8363514347672389,0.6531459197634625
ck,33,,-136.06163315164503,0.9167986888177018,0.6542031011513421
ck,36,,-150.5565186424546,0.7042669087742763,0.6521817702133678
ck,37,,-169.6772616386674,0.8763242542363018,0.6541734337185946
ck,38,,-162.37880601013188,0.3980418548890934,0.6515111296323707
ck,39,,-105.49376695296316,0.9434132459094168,0.661231023718446
ck,41,,-162.16956682360484,0.3400718854927105,0.6513302509123164
ck,42,,-147.0741239856296,0.057826210017322514,0.6612861357773808
ck,43,,-155.03867619506485,0.18583369592849602,0.6585205487743057
ck,44,,-145.71554352879733,0.593579230341049,0.6522651635715436
