model,order,subject,p_c,BIC
hmm,0,26,3.020284072743481e-08,-189.92420814311697
hmm,0,27,0.0016707237145061477,-192.43343308812857
hmm,0,28,0.09748629035138968,-173.4014328194459
hmm,0,29,0.09936512199992155,-232.93319176934583
hmm,0,30,0.06340171962429272,-168.16170456702906
hmm,0,31,5.678604587813374e-06,-216.64349017848443
hmm,0,32,0.09039377734561634,-222.6483498366613
hmm,0,33,0.09726390874551559,-137.18780851555982
hmm,0,36,0.030817682508248692,-154.95631681849366
hmm,0,37,0.005840870604817638,-179.0597473214136
hmm,0,38,0.0056149192186755095,-176.4067789947314
hmm,0,39,0.0029511336094982746,-110.34100146652295
hmm,0,41,0.096078298387897,-166.45177905586544
hmm,0,42,0.0028216696472762905,-152.27403377160974
hmm,0,43,0.05002236730983185,-156.43994064501885
hmm,0,44,0.09974423201055256,-150.95365487069347
hmm_uncoupled,0,6,0.033197350604161166,-187.16371199394308
hmm_uncoupled,0,7,0.05024453221796663,-157.4798591051179
hmm_uncoupled,0,8,0.005058892341032597,-189.02771748276055
hmm_uncoupled,0,9,0.09979379269735346,-181.51409162444563
hmm_uncoupled,0,10,0.01907407645506488,-175.5906934351749
hmm_uncoupled,0,11,0.09955855877611469,-212.48543869708274
hmm_uncoupled,0,13,0.004794823869756097,-153.91356939865108
hmm_uncoupled,0,14,0.03293252041467792,-199.03245428521433
hmm_uncoupled,0,15,0.09902184830132843,-165.47881382103083
hmm_uncoupled,0,16,0.05003218760306405,-189.28765729585055
hmm_uncoupled,0,17,0.0005946202507790844,-200.24719358586955
hmm_uncoupled,0,18,0.0983117159669965,-191.23973386031278
hmm_uncoupled,0,19,0.008982061320809661,-180.8881953786366
hmm_uncoupled,0,20,0.0500780060616316,-211.05322433671748
hmm_uncoupled,0,21,0.09920025862568255,-117.28502098922388
hmm_uncoupled,0,22,0.09949166534075476,-166.66083931098441
hmm_uncoupled,0,23,0.0005592246819080545,-223.43967285942773
hmm_uncoupled,0,24,0.043000887835167194,-183.49062796303258
hmm_uncoupled,0,25,0.09863071232573202,-195.53603369296633
hmm_uncoupled,0,26,3.017110600254305e-08,-189.9242120473855
hmm_uncoupled,0,27,0.0016711911949490407,-192.4334322823042
hmm_uncoupled,0,28,0.09748844616943798,-173.4014414721726
hmm_uncoupled,0,29,0.0993651413246773,-232.9331923113609
hmm_uncoupled,0,30,0.06340189786986239,-168.16170457891462
hmm_uncoupled,0,31,5.248509093578977e-06,-216.64422514845796
hmm_uncoupled,0,32,0.0903932236283641,-222.64834866187
hmm_uncoupled,0,33,0.09726361119823147,-137.18780817420958
hmm_uncoupled,0,36,0.030813596864506174,-154.9563170145758
hmm_uncoupled,0,37,0.005840938470847352,-179.05974732735945
hmm_uncoupled,0,38,0.005614729979310683,-176.40677893603174
hmm_uncoupled,0,39,0.0029508699502116117,-110.34100164115952
hmm_uncoupled,0,41,0.09616778817818677,-166.45194300532447
hmm_uncoupled,0,42,0.0028214233057034777,-152.2740337137018
hmm_uncoupled,0,43,0.050171669084166454,-156.4399371905793
hmm_uncoupled,0,44,0.09974419865123507,-150.95365417868308
