model,subject,p_c,BIC,p_c0,p_c1
random,14,0.15024991655216802,-195.62628317465695,,
random,15,0.5047053332886754,-165.10793503380384,,
random,16,0.03889951973153116,-188.13820754698517,,
random,17,0.14945468960525687,-187.73648613933977,,
random,18,0.19372770247221627,-194.35630302223817,,
random,19,0.43470670903633635,-180.01106395843135,,
random,20,0.6659978866594789,-211.61864603550126,,
random,21,0.8958655551527829,-113.13763567512326,,
random,22,0.7504087840412799,-156.40653237767393,,
random,23,0.690908535710162,-215.26682735255105,,
random,24,0.47217200675453075,-181.1087820169866,,
random,25,0.023880242771169735,-184.8788494566931,,
random,26,0.7466243819314504,-191.54909849400713,,
random,27,0.19270808945014883,-182.91192661205127,,
random,28,0.8374145084087383,-165.0124280978641,,
random,29,0.3749182659815842,-226.32063619765069,,
random,30,0.5351449032661784,-150.45877275396205,,
random,31,0.24962254066451361,-214.0035065030589,,
random,32,0.9477967122036494,-222.1889801276352,,
random,33,0.40614739787265564,-137.1006238093141,,
random,36,0.42065527663131896,-154.82112269328857,,
random,37,0.14209509509009832,-173.29272181682322,,
random,38,0.4863762135283818,-164.99045056008626,,
random,39,0.9659712421386811,-109.40756125880404,,
random,41,0.5673127165476791,-169.8814254520063,,
random,42,0.509555345875989,-151.85313580486732,,
random,43,0.42534304749588914,-157.78140108054674,,
random,44,0.049142614338339996,-142.60739954592842,,
ck,6,,-184.670728838583,0.9175239314213919,0.6567976726471914
ck,7,,-153.6818128082855,0.473362478945656,0.652131110209941
ck,8,,-179.1186223606281,0.5867906387754929,0.6575421352012039
ck,9,,-177.5384938416312,0.3494683215971028,0.6611540180149127
ck,10,,-169.15394265630323,0.3915147341214169,0.6549784283340292
ck,11,,-200.80126998590086,0.6340672385274151,0.653544984288007
ck,13,,-140.3113434423263,0.53496831665465,0.6599515762911191
ck,14,,-193.49053004343375,0.61646288666673,0.6624696091295476
ck,15,,-161.30395524839864,0.3102377706803836,0.6548274372990391
ck,16,,-184.02988146549393,0.4080789757511837,0.6620193096176877
ck,17,,-184.16485787922312,0.40799925949178717,0.658907098267629
ck,18,,-189.71275321934056,0.3737393723516386,0.651104632356637
ck,19,,-175.65361101807898,0.9329337556389966,0.6565070086625324
ck,20,,-207.60649703856404,0.2629831140343597,0.6620980094205706
ck,21,,-113.06183894519488,0.6050334552500436,0.6541354926606917
ck,22,,-158.7728638198342,0.2774635733869849,0.6521558292478077
ck,23,,-215.37757180468782,0.1332103599394141,0.6622762530032588
ck,24,,-177.57810861243448,0.3737764579982171,0.6562219493063891
ck,25,,-192.83244545446559,0.8298454734671235,0.6561438232403483
ck,26,,-180.72985997277067,0.6538675825088212,0.6590031130886144
ck,27,,-180.31725487880132,0.4167603390150947,0.6519912705012253
ck,28,,-164.52024616820364,0.8351817315365982,0.6624941446621444
ck,29,,-227.9730555763614,0.3511531201407305,0.6600283882790402
ck,30,,-150.35288315893717,0.9212033859378104,0.660380634350952
ck,31,,-209.88638229509067,0.974329673961872,0.6533677134655184
ck,32,,-218.7767737421738,0.00041355968833922674,0.6597875431026623
ck,33,,-136.00850760874224,0.5130077331866857,0.6570576407819405
ck,36,,-150.57048162690722,0.47717506996377324,0.6550691170154042
ck,37,,-169.70252445468705,0.48502964641853835,0.6611633181608514
ck,38,,-162.3710337793191,0.2445047382443658,0.6546684664703518
ck,39,,-105.49724774653897,0.19923886877289287,0.6552867514578994
ck,41,,-162.16798851497234,0.8706509525317545,0.6524715959876836
ck,42,,-147.07450282274763,0.4311969872763639,0.6568346390551497
