model,order,subject,p_c,BIC
hmm_uncoupled,0,30,-2.6921671556541376,-168.1617058732513
hmm_uncoupled,0,31,0.7851220776978888,-214.03145568790674
hmm_uncoupled,0,32,0.9677433699066722,-222.90095273797772
hmm_uncoupled,0,33,5.558345151098242,-140.6702112728263
hmm_uncoupled,0,36,-3.4468614410284304,-154.9563142349261
hmm_uncoupled,0,37,-5.138006527208508,-179.05974551840453
hmm_uncoupled,0,38,-5.1788032026250095,-176.40677108844983
hmm_uncoupled,0,39,0.6624775735270723,-109.33298270280571
hmm_uncoupled,0,41,2.4471003109220395,-166.3749952546059
hmm_uncoupled,0,42,-5.864806757419153,-152.27403267073268
hmm_uncoupled,0,43,6.946467765004135,-163.56053055440916
hmm_uncoupled,0,44,-1.474763287417099,-151.59812799186722
