model,order,subject,p_c,trial_size,BIC
fixed_window,1,10,0.5518597471412281,1.5042911108625276,-168.56850110402092
fixed_window,1,11,0.6291537086312263,1.3591024234113318,-213.97465998947447
fixed_window,1,13,0.7110248310074284,1.6950065578714577,-141.4820144986144
fixed_window,1,14,0.6381333635683618,1.1356476176999202,-189.94392608529319
fixed_window,1,15,0.6328103508177442,1.296602423828461,-161.00526708412693
fixed_window,1,16,0.5035933594567533,1.8279280646510412,-186.2598056571367
fixed_window,1,17,0.6485020100805581,1.513624612570591,-184.6523051635387
fixed_window,1,18,0.6623040462647928,1.2506924037667662,-186.9854771874332
fixed_window,1,19,0.6567757851908652,1.7363602993465985,-177.16563963175687
fixed_window,1,20,0.7290082692509304,2.6325396693110195,-207.28252649821513
fixed_window,1,21,0.5191609899908658,1.0577962968573855,-111.9810800339175
fixed_window,1,22,0.6312745854753045,2.2165417564404466,-156.59604772050872
fixed_window,1,23,0.6342687603246504,1.1495174694037606,-219.0853846804152
fixed_window,1,24,0.5037638020419138,1.5611751634195115,-179.02779916105186
fixed_window,1,25,0.6988862672477103,1.519095994803477,-192.40117144288124
fixed_window,1,26,0.6567467101787752,2.4742150292248883,-180.32768523675173
fixed_window,1,27,0.5509935391293067,2.1657319894042937,-181.9707958136215
fixed_window,1,28,0.644872989971962,1.5395335911668095,-167.87448457549192
fixed_window,1,29,0.5817947387620311,1.846163664513406,-232.3680004858554
fixed_window,1,30,0.663880375259557,2.190744185671902,-168.22984193586248
fixed_window,1,31,0.5342045983430908,1.2219772337756598,-210.54525268082287
fixed_window,1,32,0.5851295723802208,1.301200340649109,-218.12914202010288
fixed_window,1,33,0.7282256709770283,2.4963719828759197,-133.21945317157784
fixed_window,1,36,0.5482706806007542,1.652920059276955,-151.2717871600039
fixed_window,1,37,0.6656222706910135,1.2599871746851652,-169.42843385868485
fixed_window,1,38,0.6642497039173905,1.9920954784512155,-171.26542165808218
fixed_window,1,39,0.7065992200760274,1.9670992502017137,-106.38047582480803
fixed_window,1,41,0.5401552957636497,2.580769701250875,-163.31745529917833
fixed_window,1,42,0.7109508042432164,1.8434999773401757,-146.7759700098947
fixed_window,1,43,0.5948134849358422,1.218855170168338,-152.46460621752746
fixed_window,1,44,0.6028963418331875,1.6983084835220446,-144.16093700999758
fixed_decay,0,6,0.5177367026240671,2.61461405939868,-182.98653332921882
fixed_decay,0,7,0.6731407451546794,1.054830712540423,-153.42342954473725
fixed_decay,0,8,0.6770141823210417,1.2772516098179578,-183.00495803422942
fixed_decay,0,9,0.6309900902608541,1.7171041581835496,-170.0969425674757
fixed_decay,0,10,0.5886617886590921,1.1630869132121568,-171.25516850359253
fixed_decay,0,11,0.7196646924708733,1.1971423355697193,-195.59218850054768
fixed_decay,0,13,0.7070387824487652,2.208196907919565,-146.4881895815901
fixed_decay,0,14,0.7296460325372568,1.3785658982876963,-195.06510430126676
fixed_decay,0,15,0.6862632416827422,2.4972186236539144,-161.04755294983454
fixed_decay,0,16,0.7172847921141753,1.982854333411557,-184.44963199011997
fixed_decay,0,17,0.6258904489947376,1.9655091094659325,-192.01346229639975
fixed_decay,0,18,0.7089725112027646,2.409563644468121,-187.26197150761286
fixed_decay,0,19,0.5106097541352141,1.1652055864144815,-176.14612196187406
fixed_decay,0,20,0.6680528795112126,1.871831463827707,-207.1213118278327
fixed_decay,0,21,0.5361390686432083,2.2652190853179324,-110.46497062291314
fixed_decay,0,22,0.5728027418946191,2.664557356959226,-152.7580447093499
fixed_decay,0,23,0.6542871304636076,1.1318352222312438,-214.44895763034387
fixed_decay,0,24,0.6778920000078049,1.1387333183421255,-178.76694496373045
fixed_decay,0,25,0.7064430493618136,2.134287511588941,-185.103115517229
fixed_decay,0,26,0.660487835239416,1.0021292208728028,-185.27630966194252
fixed_decay,0,27,0.6436721245385639,1.7621313259517557,-188.2063457876491
